Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 21 440 2.0 450 120 1.000  20 1.0E-1
23.11.2013, 23:09

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
436.73 1.000576 2.044030E-2 0.652214  3.494E-5 8.27603 5033 450.00
436.72 1.000576 1.992958E-2 0.652072  3.480E-5 8.27548 5063 450.00
436.71 1.000576 1.994668E-2 0.652149  3.471E-5 8.27545 5092 450.00
436.71 1.000576 2.055632E-2 0.652176  3.475E-5 8.27633 5122 450.00
436.70 1.000576 2.031644E-2 0.652141  3.467E-5 8.27502 5152 450.00
436.69 1.000576 2.051688E-2 0.652228  3.479E-5 8.27516 5182 450.00
436.69 1.000576 2.052062E-2 0.652358  3.476E-5 8.27553 5212 450.00
436.68 1.000576 2.012164E-2 0.652017  3.488E-5 8.27481 5241 449.95
436.66 1.000576 2.031628E-2 0.652382  3.472E-5 8.27494 5271 450.00
436.65 1.000576 2.034632E-2 0.652333  3.466E-5 8.27463 5301 450.00
436.64 1.000576 2.056695E-2 0.652085  3.475E-5 8.27593 5331 450.00
436.64 1.000576 2.003415E-2 0.652327  3.481E-5 8.27576 5361 450.00
436.62 1.000576 2.026181E-2 0.652171  3.471E-5 8.27472 5390 450.00
436.62 1.000576 2.059686E-2 0.652480  3.486E-5 8.27426 5420 450.00
436.62 1.000576 2.024999E-2 0.652161  3.483E-5 8.27448 5450 450.05
436.61 1.000576 2.031794E-2 0.652394  3.476E-5 8.27540 5480 450.05
436.60 1.000576 2.048701E-2 0.652868  3.475E-5 8.27459 5510 450.00
436.59 1.000576 2.026062E-2 0.652444  3.483E-5 8.27390 5539 450.05
436.55 1.000576 2.013982E-2 0.652532  3.498E-5 8.27554 5569 450.10
436.54 1.000576 2.051357E-2 0.652530  3.489E-5 8.27435 5599 450.00
436.54 1.000576 2.007833E-2 0.652485  3.482E-5 8.27412 5629 450.00
436.52 1.000576 2.036865E-2 0.652364  3.467E-5 8.27366 5659 450.00
436.51 1.000576 2.055376E-2 0.652440  3.476E-5 8.27386 5688 450.00
436.49 1.000576 1.996164E-2 0.652481  3.472E-5 8.27434 5718 450.00
436.46 1.000576 2.046542E-2 0.652419  3.480E-5 8.27481 5748 450.00
436.44 1.000576 2.038368E-2 0.652597  3.472E-5 8.27394 5778 450.00
436.42 1.000576 1.995420E-2 0.652402  3.464E-5 8.27515 5808 449.95
436.41 1.000576 2.090187E-2 0.652598  3.479E-5 8.27597 5837 450.00
436.39 1.000576 2.043849E-2 0.652689  3.485E-5 8.27505 5867 449.90
436.38 1.000576 2.013955E-2 0.652751  3.490E-5 8.27491 5897 449.95
436.37 1.000576 2.039023E-2 0.652569  3.460E-5 8.27425 5927 449.90
436.36 1.000576 1.994042E-2 0.652791  3.476E-5 8.27428 5957 449.95
436.35 1.000576 1.994824E-2 0.652711  3.478E-5 8.27605 5986 450.00
436.34 1.000576 2.084613E-2 0.652779  3.476E-5 8.27488 6016 449.95
436.34 1.000576 2.020347E-2 0.652421  3.482E-5 8.27520 6046 450.00
436.33 1.000576 2.020290E-2 0.652703  3.478E-5 8.27414 6076 450.00
436.33 1.000576 2.035384E-2 0.652823  3.472E-5 8.27527 6106 450.00
436.33 1.000576 2.017679E-2 0.652655  3.473E-5 8.27490 6135 450.00
436.33 1.000576 1.977786E-2 0.652366  3.465E-5 8.27471 6165 450.00
436.33 1.000576 2.042342E-2 0.652529  3.480E-5 8.27503 6195 450.00
436.33 1.000576 2.077031E-2 0.652581  3.488E-5 8.27485 6225 450.00
436.33 1.000576 2.043048E-2 0.652373  3.482E-5 8.27524 6255 450.00
436.33 1.000576 2.025477E-2 0.652688  3.474E-5 8.27512 6284 450.00
436.33 1.000576 1.981959E-2 0.652704  3.495E-5 8.27506 6314 450.00
436.33 1.000576 2.045969E-2 0.652581  3.475E-5 8.27394 6344 450.00
436.34 1.000576 1.986061E-2 0.652847  3.483E-5 8.27624 6374 450.00
436.34 1.000576 2.025228E-2 0.652565  3.471E-5 8.27555 6404 450.00
436.35 1.000576 2.008673E-2 0.652562  3.485E-5 8.27552 6433 450.00
436.35 1.000576 2.024627E-2 0.652818  3.458E-5 8.27501 6463 450.00
436.35 1.000576 2.007691E-2 0.652839  3.484E-5 8.27497 6493 450.00
436.36 1.000576 2.054163E-2 0.652681  3.464E-5 8.27446 6523 450.00
436.37 1.000576 2.029200E-2 0.652723  3.473E-5 8.27574 6553 450.00
436.37 1.000576 2.025995E-2 0.652545  3.469E-5 8.27515 6582 450.00
436.38 1.000576 2.005839E-2 0.652714  3.488E-5 8.27528 6612 450.00
436.36 1.000576 2.054807E-2 0.652859  3.480E-5 8.27496 6642 450.00
436.36 1.000576 2.036550E-2 0.652770  3.466E-5 8.27480 6672 450.05
436.37 1.000576 2.032692E-2 0.652475  3.480E-5 8.27502 6702 450.10
436.36 1.000576 2.020259E-2 0.652656  3.485E-5 8.27640 6731 450.05
