Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 2 550 2.0 290 15 1.000  20 3.0E-1
20.11.2013, 14:40

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
439.76 1.000576 1.994035E-2 0.642550  1.072E-4 7.98635 3768 427.00
438.85 1.000576 2.026890E-2 0.643101  1.069E-4 7.98367 3798 426.05
438.05 1.000576 2.066143E-2 0.643724  1.064E-4 7.98699 3828 424.95
437.20 1.000576 2.074873E-2 0.644308  1.069E-4 7.97450 3857 423.95
436.33 1.000576 2.115001E-2 0.645065  1.066E-4 7.99147 3887 422.95
435.49 1.000576 2.141676E-2 0.645958  1.060E-4 7.98052 3917 421.95
434.68 1.000576 2.171891E-2 0.646490  1.061E-4 7.98323 3947 421.00
433.85 1.000576 2.194473E-2 0.647030  1.054E-4 7.97662 3976 420.05
433.00 1.000576 2.202002E-2 0.647820  1.059E-4 7.97091 4006 419.15
432.17 1.000576 2.222797E-2 0.648376  1.061E-4 7.96947 4036 418.15
431.35 1.000576 2.239008E-2 0.649077  1.061E-4 7.97879 4065 417.25
430.52 1.000576 2.235613E-2 0.649826  1.062E-4 7.98010 4095 416.20
429.70 1.000576 2.234266E-2 0.650513  1.058E-4 7.96762 4125 415.20
428.87 1.000576 2.237356E-2 0.651328  1.054E-4 7.95725 4154 414.20
428.03 1.000576 2.234873E-2 0.652007  1.061E-4 7.95412 4184 413.15
427.18 1.000576 2.214293E-2 0.652685  1.043E-4 7.96774 4214 412.15
426.42 1.000576 2.248908E-2 0.653594  1.052E-4 7.96688 4244 411.20
425.53 1.000576 2.207263E-2 0.654000  1.052E-4 7.95857 4273 410.15
424.72 1.000576 2.200681E-2 0.654789  1.052E-4 7.95473 4303 409.15
423.92 1.000576 2.198012E-2 0.655677  1.048E-4 7.95596 4333 408.15
423.12 1.000576 2.151806E-2 0.656237  1.049E-4 7.96197 4362 407.15
422.26 1.000576 2.110209E-2 0.656916  1.038E-4 7.94994 4392 406.15
421.40 1.000576 2.102981E-2 0.657751  1.050E-4 7.95592 4422 405.15
420.59 1.000576 2.087007E-2 0.658154  1.040E-4 7.94630 4451 404.25
419.77 1.000576 2.072779E-2 0.658766  1.047E-4 7.95203 4481 403.20
418.97 1.000576 2.005122E-2 0.659446  1.045E-4 7.96270 4511 402.25
418.15 1.000576 1.961413E-2 0.660121  1.040E-4 7.94844 4540 401.35
417.30 1.000576 1.931019E-2 0.660514  1.038E-4 7.94627 4570 400.40
416.48 1.000576 1.875675E-2 0.661225  1.029E-4 7.95889 4600 399.45
415.66 1.000576 1.850826E-2 0.661566  1.043E-4 7.93000 4629 398.45
414.86 1.000576 1.796532E-2 0.662183  1.033E-4 7.93948 4659 397.45
414.04 1.000576 1.745872E-2 0.662635  1.035E-4 7.93543 4689 396.55
413.23 1.000576 1.725511E-2 0.663053  1.032E-4 7.92803 4718 395.55
412.41 1.000576 1.660764E-2 0.663631  1.037E-4 7.92419 4748 394.55
411.60 1.000576 1.611186E-2 0.663945  1.032E-4 7.93463 4777 393.60
410.77 1.000576 1.574868E-2 0.664466  1.029E-4 7.92788 4807 392.65
410.01 1.000576 1.530579E-2 0.664793  1.032E-4 7.91204 4837 391.65
409.15 1.000576 1.480099E-2 0.665206  1.034E-4 7.93928 4866 390.75
408.36 1.000576 1.442406E-2 0.665697  1.030E-4 7.92934 4896 389.80
407.57 1.000576 1.409976E-2 0.665699  1.037E-4 7.92756 4925 388.85
406.77 1.000576 1.362213E-2 0.666107  1.030E-4 7.92483 4955 387.85
405.97 1.000576 1.297837E-2 0.666562  1.034E-4 7.94254 4985 386.85
405.20 1.000576 1.302642E-2 0.666930  1.023E-4 7.92459 5014 385.95
404.36 1.000576 1.267863E-2 0.667240  1.029E-4 7.92232 5044 384.95
403.56 1.000576 1.168746E-2 0.667324  1.013E-4 7.93107 5073 383.95
402.76 1.000576 1.162705E-2 0.667716  1.029E-4 7.91350 5103 383.00
401.98 1.000576 1.142637E-2 0.667894  1.029E-4 7.91325 5133 382.05
401.19 1.000576 1.102625E-2 0.667976  1.017E-4 7.91369 5162 381.05
400.40 1.000576 1.059738E-2 0.668293  1.015E-4 7.91974 5192 380.15
399.62 1.000576 1.059019E-2 0.668591  1.020E-4 7.91282 5221 379.25
398.83 1.000576 1.003558E-2 0.668799  1.037E-4 7.89398 5251 378.30
398.05 1.000576 9.847486E-3 0.669514  1.018E-4 7.90338 5281 377.40
397.25 1.000576 9.495593E-3 0.669663  1.019E-4 7.90389 5310 376.55
396.50 1.000576 9.211848E-3 0.669960  1.021E-4 7.90753 5340 375.70
395.75 1.000576 8.829547E-3 0.670145  1.020E-4 7.90076 5369 374.80
394.97 1.000576 8.536336E-3 0.670511  1.018E-4 7.92038 5399 374.00
394.18 1.000576 8.273637E-3 0.670481  1.020E-4 7.90176 5429 373.20
393.42 1.000576 8.172149E-3 0.670572  1.016E-4 7.89078 5458 372.35
392.65 1.000576 7.881306E-3 0.670553  1.023E-4 7.88954 5488 371.60
391.88 1.000576 7.677068E-3 0.670846  1.015E-4 7.89609 5517 370.85
391.11 1.000576 7.499059E-3 0.670515  1.029E-4 7.88850 5547 370.10
390.34 1.000576 7.400233E-3 0.670553  1.023E-4 7.88385 5577 369.35
389.58 1.000576 7.165199E-3 0.670493  1.026E-4 7.88681 5606 368.55
388.83 1.000576 7.214779E-3 0.670744  1.014E-4 7.88552 5636 367.85
388.09 1.000576 7.087909E-3 0.671509  1.027E-4 7.87879 5665 367.15
387.37 1.000576 6.671278E-3 0.671520  1.004E-4 7.88738 5695 366.45
386.63 1.000576 6.908622E-3 0.671914  1.000E-4 7.88877 5725 365.75
385.92 1.000576 6.645340E-3 0.671903  1.033E-4 7.85970 5754 365.05
385.20 1.000576 6.494414E-3 0.671682  1.013E-4 7.87890 5784 364.35
384.49 1.000576 6.232372E-3 0.671907  9.984E-5 7.88436 5813 363.70
383.80 1.000576 6.177382E-3 0.672209  1.026E-4 7.86768 5843 363.10
383.09 1.000576 6.062000E-3 0.672554  1.020E-4 7.87039 5873 362.45
382.39 1.000576 5.928851E-3 0.672643  1.010E-4 7.87739 5902 361.85
381.72 1.000576 6.102741E-3 0.672823  1.016E-4 7.86397 5932 361.30
381.05 1.000576 6.079202E-3 0.672856  1.030E-4 7.85392 5961 360.65
380.39 1.000576 5.816404E-3 0.673080  1.021E-4 7.86685 5991 360.10
379.74 1.000576 5.606118E-3 0.673279  1.028E-4 7.86082 6020 359.50
379.09 1.000576 5.609480E-3 0.673383  1.030E-4 7.85703 6050 359.00
378.43 1.000576 5.422709E-3 0.673583  1.020E-4 7.85527 6080 358.40
377.78 1.000576 5.011248E-3 0.673717  1.030E-4 7.84194 6109 357.90
377.14 1.000576 5.322065E-3 0.673877  1.016E-4 7.85250 6139 357.30
376.50 1.000576 5.244884E-3 0.674015  1.025E-4 7.85161 6168 356.80
375.87 1.000576 5.193510E-3 0.674024  1.008E-4 7.86114 6198 356.25
375.24 1.000576 4.666266E-3 0.674220  1.024E-4 7.85163 6228 355.75
374.62 1.000576 5.105951E-3 0.674527  1.023E-4 7.84867 6257 355.20
374.01 1.000576 5.120276E-3 0.674565  1.022E-4 7.84906 6287 354.70
373.39 1.000576 4.972004E-3 0.674616  1.019E-4 7.84938 6316 354.20
372.78 1.000576 4.802245E-3 0.674805  1.015E-4 7.85098 6346 353.70
372.18 1.000576 4.844198E-3 0.674983  1.016E-4 7.84838 6376 353.25
