Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 23 450 2.0 290 999 1.000  20 1.0E-1
24.11.2013, 06:51

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
341.94 1.000576 3.496994E-3 0.685984  3.313E-5 8.19802 5271 330.60
341.57 1.000576 3.910953E-3 0.686193  3.308E-5 8.19880 5301 330.35
341.28 1.000576 3.822182E-3 0.685771  3.319E-5 8.19821 5331 330.10
340.96 1.000576 3.838211E-3 0.686530  3.304E-5 8.19701 5360 329.85
340.65 1.000576 3.711686E-3 0.686370  3.306E-5 8.19639 5390 329.60
340.35 1.000576 3.609798E-3 0.685977  3.306E-5 8.19589 5420 329.40
340.04 1.000576 3.988283E-3 0.686468  3.304E-5 8.19456 5450 329.15
339.73 1.000576 4.065916E-3 0.686405  3.305E-5 8.19518 5479 328.90
339.43 1.000576 4.041662E-3 0.686438  3.297E-5 8.19525 5509 328.65
339.14 1.000576 4.432195E-3 0.686317  3.303E-5 8.19493 5539 328.45
338.83 1.000576 4.143091E-3 0.686705  3.302E-5 8.19402 5569 328.25
338.54 1.000576 3.968082E-3 0.686838  3.305E-5 8.19390 5598 328.00
338.25 1.000576 3.844506E-3 0.686924  3.309E-5 8.19355 5628 327.80
337.97 1.000576 3.679943E-3 0.686869  3.304E-5 8.19286 5658 327.55
337.68 1.000576 3.752211E-3 0.687133  3.302E-5 8.19120 5687 327.35
337.40 1.000576 3.915164E-3 0.687122  3.296E-5 8.19221 5717 327.10
337.12 1.000576 4.036497E-3 0.687132  3.291E-5 8.19115 5747 326.95
336.85 1.000576 3.462858E-3 0.687328  3.303E-5 8.19100 5777 326.75
336.57 1.000576 3.874482E-3 0.687401  3.299E-5 8.19000 5806 326.50
336.29 1.000576 3.563442E-3 0.687123  3.299E-5 8.19094 5836 326.30
336.01 1.000576 3.910532E-3 0.687420  3.305E-5 8.18906 5866 326.10
335.74 1.000576 3.740588E-3 0.687260  3.307E-5 8.18927 5895 325.90
335.47 1.000576 3.954892E-3 0.687723  3.291E-5 8.18848 5925 325.70
335.20 1.000576 4.033592E-3 0.687626  3.301E-5 8.18815 5955 325.45
334.93 1.000576 4.219168E-3 0.688026  3.288E-5 8.18810 5984 325.25
334.67 1.000576 3.561463E-3 0.687986  3.299E-5 8.18680 6014 325.05
334.42 1.000576 4.073776E-3 0.687922  3.306E-5 8.18592 6044 324.85
334.16 1.000576 4.086049E-3 0.687874  3.315E-5 8.18540 6074 324.65
333.90 1.000576 3.665155E-3 0.687945  3.301E-5 8.18528 6103 324.50
