Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 1 298 2.0 550 60 1.000  60 3.0E-1
27.11.2013, 11:16

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
523.83 1.000576 6.242032E-3 0.625192  1.101E-4 8.10317 7729 550.30
525.69 1.000576 6.187718E-3 0.624757  1.103E-4 8.10511 7799 550.35
527.31 1.000576 6.121587E-3 0.624562  1.102E-4 8.10248 7868 550.30
528.69 1.000576 6.007958E-3 0.624326  1.102E-4 8.10159 7938 550.30
529.84 1.000576 6.028731E-3 0.624038  1.103E-4 8.10050 8008 550.25
530.82 1.000576 5.994969E-3 0.623876  1.103E-4 8.09771 8077 550.20
531.62 1.000576 6.106684E-3 0.623744  1.104E-4 8.09774 8147 550.20
532.33 1.000576 5.900258E-3 0.623751  1.103E-4 8.09586 8216 550.10
533.00 1.000576 5.958223E-3 0.623561  1.104E-4 8.09308 8286 550.10
533.51 1.000576 5.960275E-3 0.623415  1.104E-4 8.09492 8356 550.10
533.98 1.000576 5.679682E-3 0.623311  1.105E-4 8.09332 8425 550.10
534.38 1.000576 5.968141E-3 0.623193  1.105E-4 8.09292 8495 550.10
534.73 1.000576 5.884422E-3 0.623116  1.104E-4 8.09140 8564 550.05
535.04 1.000576 5.902055E-3 0.623091  1.104E-4 8.09264 8634 550.10
535.30 1.000576 5.944029E-3 0.622924  1.105E-4 8.09159 8704 550.10
535.49 1.000576 5.850394E-3 0.622852  1.104E-4 8.08882 8773 550.00
535.69 1.000576 5.926195E-3 0.622751  1.105E-4 8.08699 8843 550.00
535.85 1.000576 5.964321E-3 0.622842  1.105E-4 8.08573 8912 550.00
535.97 1.000576 6.011282E-3 0.622735  1.105E-4 8.08382 8982 550.00
536.11 1.000576 5.932629E-3 0.622698  1.105E-4 8.08195 9052 550.00
536.25 1.000576 5.892649E-3 0.622714  1.105E-4 8.08076 9121 550.00
536.37 1.000576 5.837905E-3 0.622708  1.105E-4 8.07991 9191 550.00
536.48 1.000576 5.842098E-3 0.622610  1.105E-4 8.07901 9260 550.00
536.59 1.000576 5.780730E-3 0.622536  1.105E-4 8.07757 9330 550.00
536.69 1.000576 5.833908E-3 0.622732  1.104E-4 8.07621 9400 550.00
536.76 1.000576 5.851735E-3 0.622663  1.104E-4 8.07531 9469 550.00
536.82 1.000576 5.897340E-3 0.622662  1.104E-4 8.07459 9539 550.00
536.89 1.000576 5.935821E-3 0.622577  1.104E-4 8.07308 9608 550.05
536.93 1.000576 5.912836E-3 0.622706  1.104E-4 8.07260 9678 550.05
536.98 1.000576 5.752362E-3 0.622532  1.105E-4 8.07233 9748 550.05
536.97 1.000576 5.820074E-3 0.622655  1.104E-4 8.07245 9817 550.00
536.99 1.000576 5.917526E-3 0.622671  1.104E-4 8.07143 9887 550.00
536.96 1.000576 5.850159E-3 0.622694  1.104E-4 8.07089 9956 550.00
536.98 1.000576 5.706618E-3 0.622686  1.104E-4 8.07249 10026 550.00
536.98 1.000576 5.553482E-3 0.622746  1.104E-4 8.07274 10096 550.00
536.99 1.000576 5.786016E-3 0.622701  1.103E-4 8.07261 10165 550.00
537.02 1.000576 5.743790E-3 0.622793  1.103E-4 8.07228 10235 550.00
