Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
C 14 550 2.0 290 90 7.000  60 3.0E-1
29.11.2013, 11:51

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
327.89 7.000840 2.046263E-2 0.676793  1.008E-4 7.71551 10099 320.40
327.43 7.000840 2.039228E-2 0.676837  1.006E-4 7.71360 10168 320.05
326.98 7.000840 2.035708E-2 0.676900  1.006E-4 7.71299 10237 319.65
326.54 7.000840 2.033556E-2 0.676976  1.006E-4 7.71292 10305 319.35
326.10 7.000840 2.033139E-2 0.677049  1.006E-4 7.71223 10374 318.95
325.62 7.000840 2.031243E-2 0.677125  1.006E-4 7.71126 10443 318.65
325.26 7.000840 2.030771E-2 0.677195  1.006E-4 7.71106 10512 318.35
324.84 7.000840 2.029172E-2 0.677284  1.006E-4 7.71018 10580 317.95
324.43 7.000840 2.025315E-2 0.677361  1.006E-4 7.70947 10649 317.65
324.03 7.000840 2.023657E-2 0.677446  1.005E-4 7.70832 10718 317.35
323.63 7.000840 2.021455E-2 0.677504  1.005E-4 7.70834 10786 317.05
323.24 7.000840 2.021966E-2 0.677584  1.005E-4 7.70807 10855 316.75
322.85 7.000840 2.018832E-2 0.677641  1.005E-4 7.70668 10924 316.50
322.47 7.000840 2.015959E-2 0.677706  1.005E-4 7.70698 10992 316.20
322.10 7.000840 2.012959E-2 0.677764  1.005E-4 7.70609 11061 315.90
321.73 7.000840 2.011620E-2 0.677818  1.005E-4 7.70485 11130 315.65
321.38 7.000840 2.010307E-2 0.677878  1.005E-4 7.70392 11199 315.40
321.03 7.000840 2.009960E-2 0.677954  1.005E-4 7.70404 11267 315.10
320.69 7.000840 2.006850E-2 0.678028  1.005E-4 7.70388 11336 314.85
320.34 7.000840 2.005657E-2 0.678084  1.004E-4 7.70328 11405 314.60
320.00 7.000840 2.006143E-2 0.678143  1.004E-4 7.70313 11473 314.35
319.67 7.000840 2.005117E-2 0.678200  1.005E-4 7.70290 11542 314.10
319.35 7.000840 2.002312E-2 0.678226  1.005E-4 7.70242 11611 313.90
319.03 7.000840 2.000510E-2 0.678274  1.005E-4 7.70240 11679 313.60
318.71 7.000840 1.998637E-2 0.678290  1.005E-4 7.70081 11748 313.40
318.40 7.000840 1.997647E-2 0.678333  1.005E-4 7.70158 11817 313.20
318.10 7.000840 1.997123E-2 0.678359  1.005E-4 7.70186 11885 313.00
317.80 7.000840 1.995360E-2 0.678406  1.005E-4 7.70043 11954 312.70
317.51 7.000840 1.995408E-2 0.678434  1.005E-4 7.70024 12023 312.50
317.22 7.000840 1.992817E-2 0.678475  1.005E-4 7.69999 12091 312.30
316.94 7.000840 1.993149E-2 0.678515  1.004E-4 7.70070 12160 312.10
316.67 7.000840 1.991545E-2 0.678575  1.004E-4 7.69973 12229 311.85
316.40 7.000840 1.994147E-2 0.678627  1.004E-4 7.70035 12297 311.70
316.12 7.000840 1.990045E-2 0.678648  1.003E-4 7.70010 12366 311.50
315.88 7.000840 1.991292E-2 0.678703  1.004E-4 7.69946 12435 311.30
315.63 7.000840 1.989999E-2 0.678759  1.004E-4 7.69833 12503 311.10
315.37 7.000840 1.989962E-2 0.678808  1.003E-4 7.69824 12572 310.90
315.12 7.000840 1.989561E-2 0.678860  1.004E-4 7.69850 12641 310.70
314.86 7.000840 1.987292E-2 0.678885  1.004E-4 7.69870 12709 310.55
314.62 7.000840 1.985634E-2 0.678882  1.004E-4 7.69817 12778 310.30
314.37 7.000840 1.983664E-2 0.678876  1.004E-4 7.69708 12847 310.15
314.13 7.000840 1.981895E-2 0.678903  1.005E-4 7.69701 12915 310.05
313.89 7.000840 1.982076E-2 0.678957  1.004E-4 7.69719 12984 309.85
313.66 7.000840 1.982669E-2 0.678992  1.004E-4 7.69632 13053 309.70
313.44 7.000840 1.980689E-2 0.679037  1.005E-4 7.69644 13121 309.50
313.23 7.000840 1.980880E-2 0.679079  1.003E-4 7.69651 13190 309.35
313.01 7.000840 1.983253E-2 0.679147  1.003E-4 7.69664 13259 309.20
