Nb
as received
Sample dimentions in mm: 0.7000 x 0.000 x 14.18
Photocell sensitivity 0.056 V/mm, Optic arm 328 mm
User: Iva
H 9 380 2.0 390 120 1.000  20 1.0E-1
22.11.2013, 00:57

T[K]   F[Hz]  Theta[rad]   Modulus  MaxStrain Center[mm] Time[s] TOven[K]
376.23 1.000576 2.818667E-3 0.674563  3.406E-5 8.47408 3345 390.00
376.27 1.000576 3.493152E-3 0.674255  3.392E-5 8.47395 3375 390.00
376.26 1.000576 3.188730E-3 0.674525  3.382E-5 8.47503 3405 390.00
376.30 1.000576 3.410507E-3 0.674468  3.400E-5 8.47396 3435 390.00
376.29 1.000576 3.372590E-3 0.674563  3.396E-5 8.47362 3465 390.00
376.32 1.000576 3.094142E-3 0.674273  3.398E-5 8.47392 3495 390.00
376.34 1.000576 3.185384E-3 0.674463  3.392E-5 8.47465 3525 390.00
376.35 1.000576 3.411709E-3 0.674403  3.388E-5 8.47326 3555 390.00
376.37 1.000576 3.339036E-3 0.674379  3.385E-5 8.47377 3585 390.00
376.39 1.000576 3.192135E-3 0.674362  3.397E-5 8.47398 3614 390.00
376.41 1.000576 3.196127E-3 0.674256  3.402E-5 8.47388 3644 390.00
376.42 1.000576 3.261368E-3 0.674375  3.387E-5 8.47425 3674 390.00
376.44 1.000576 2.744309E-3 0.674436  3.393E-5 8.47302 3704 390.00
376.45 1.000576 3.255727E-3 0.674306  3.392E-5 8.47279 3734 390.00
376.46 1.000576 3.416713E-3 0.674383  3.388E-5 8.47311 3764 390.00
376.48 1.000576 3.116602E-3 0.674586  3.394E-5 8.47398 3794 390.00
376.50 1.000576 3.304430E-3 0.674304  3.395E-5 8.47322 3824 390.00
376.51 1.000576 2.889597E-3 0.674617  3.398E-5 8.47306 3854 390.00
376.52 1.000576 3.527356E-3 0.674509  3.400E-5 8.47195 3884 390.00
376.53 1.000576 3.215669E-3 0.674542  3.393E-5 8.47342 3913 390.00
376.56 1.000576 3.371406E-3 0.674377  3.391E-5 8.47283 3943 390.00
376.57 1.000576 3.394508E-3 0.674610  3.399E-5 8.47267 3973 390.00
376.58 1.000576 3.329383E-3 0.674415  3.398E-5 8.47204 4003 390.00
376.60 1.000576 3.311579E-3 0.674353  3.370E-5 8.47376 4033 390.00
376.60 1.000576 3.393983E-3 0.674562  3.390E-5 8.47288 4063 390.00
376.61 1.000576 3.470317E-3 0.674391  3.383E-5 8.47258 4093 390.00
376.62 1.000576 2.692613E-3 0.674162  3.384E-5 8.47292 4123 390.00
376.65 1.000576 3.347140E-3 0.674463  3.406E-5 8.47317 4153 390.00
376.67 1.000576 3.479353E-3 0.674643  3.392E-5 8.47224 4183 390.00
376.68 1.000576 3.270838E-3 0.674552  3.400E-5 8.47362 4212 390.00
376.69 1.000576 3.343871E-3 0.674324  3.391E-5 8.47262 4242 390.00
376.69 1.000576 3.357847E-3 0.674426  3.374E-5 8.47288 4272 390.00
376.71 1.000576 3.332018E-3 0.674481  3.396E-5 8.47196 4302 390.00
376.70 1.000576 3.519014E-3 0.674400  3.396E-5 8.47206 4332 390.00
376.71 1.000576 3.447726E-3 0.674430  3.396E-5 8.47248 4362 390.00
376.71 1.000576 3.393258E-3 0.674396  3.391E-5 8.47127 4392 390.00
376.73 1.000576 3.232140E-3 0.674292  3.407E-5 8.47227 4422 390.00
376.74 1.000576 3.300026E-3 0.674476  3.368E-5 8.47242 4452 390.00
376.75 1.000576 3.360348E-3 0.674284  3.400E-5 8.47107 4482 390.00
376.75 1.000576 3.254278E-3 0.674272  3.394E-5 8.47224 4511 390.00
376.76 1.000576 3.543356E-3 0.674508  3.392E-5 8.47134 4541 390.00
376.77 1.000576 3.112806E-3 0.674231  3.412E-5 8.47157 4571 390.00
376.78 1.000576 3.216650E-3 0.674128  3.397E-5 8.47228 4601 390.00
376.77 1.000576 3.077805E-3 0.674471  3.399E-5 8.47162 4631 390.00
376.79 1.000576 3.167731E-3 0.674591  3.381E-5 8.47233 4661 390.00
376.80 1.000576 3.314768E-3 0.674202  3.403E-5 8.47211 4691 390.00
376.81 1.000576 3.158754E-3 0.674636  3.391E-5 8.47237 4721 390.00
376.81 1.000576 3.053884E-3 0.674368  3.390E-5 8.47219 4751 390.00
376.83 1.000576 3.358632E-3 0.674749  3.386E-5 8.47132 4781 390.00
376.83 1.000576 3.430131E-3 0.674263  3.400E-5 8.47080 4810 389.95
376.83 1.000576 3.204469E-3 0.674240  3.397E-5 8.47203 4840 390.00
376.84 1.000576 3.237166E-3 0.674388  3.396E-5 8.47052 4870 390.00
376.85 1.000576 3.249112E-3 0.674308  3.392E-5 8.47271 4900 390.00
376.87 1.000576 3.176190E-3 0.674298  3.406E-5 8.47131 4930 390.00
376.87 1.000576 3.147100E-3 0.674244  3.403E-5 8.47124 4960 390.00
376.88 1.000576 3.300194E-3 0.674271  3.388E-5 8.47171 4990 390.00
376.90 1.000576 3.347334E-3 0.674365  3.403E-5 8.47223 5020 390.00
376.91 1.000576 3.099408E-3 0.674314  3.398E-5 8.47260 5050 390.00
376.91 1.000576 3.349372E-3 0.674392  3.381E-5 8.47211 5080 390.00
376.91 1.000576 2.971478E-3 0.674238  3.401E-5 8.47261 5109 390.00
376.91 1.000576 3.582840E-3 0.674305  3.387E-5 8.47164 5139 390.00
376.92 1.000576 3.481907E-3 0.674335  3.397E-5 8.47162 5169 390.00
376.93 1.000576 3.298268E-3 0.674489  3.401E-5 8.47115 5199 390.00
376.90 1.000576 3.320150E-3 0.674476  3.398E-5 8.47174 5229 390.00
376.93 1.000576 3.255767E-3 0.674226  3.383E-5 8.47111 5259 390.00
376.94 1.000576 3.230037E-3 0.674566  3.387E-5 8.47121 5289 390.00
376.94 1.000576 3.455714E-3 0.674151  3.391E-5 8.47133 5319 390.00
376.95 1.000576 3.272377E-3 0.674454  3.397E-5 8.47163 5349 390.00
376.96 1.000576 3.014316E-3 0.674653  3.380E-5 8.47059 5379 390.00
376.96 1.000576 3.415054E-3 0.674487  3.396E-5 8.47063 5408 390.00
376.97 1.000576 3.156307E-3 0.674590  3.400E-5 8.47163 5438 390.00
376.93 1.000576 3.587906E-3 0.674441  3.399E-5 8.47173 5468 390.00
376.97 1.000576 3.119089E-3 0.674446  3.401E-5 8.46979 5498 390.00
376.98 1.000576 3.345379E-3 0.674353  3.398E-5 8.47144 5528 390.00
376.98 1.000576 3.461803E-3 0.674639  3.404E-5 8.47010 5558 390.00
376.97 1.000576 2.991362E-3 0.674422  3.385E-5 8.47203 5588 390.00
376.98 1.000576 3.358926E-3 0.674363  3.380E-5 8.47095 5618 390.00
376.99 1.000576 3.449741E-3 0.674648  3.396E-5 8.47250 5648 390.00
377.00 1.000576 3.534530E-3 0.674553  3.395E-5 8.47141 5678 390.00
377.00 1.000576 3.445815E-3 0.674471  3.395E-5 8.47169 5707 390.00
377.00 1.000576 3.818124E-3 0.674357  3.379E-5 8.47176 5737 390.00
377.00 1.000576 3.081805E-3 0.674174  3.394E-5 8.47145 5767 390.00
377.00 1.000576 3.195428E-3 0.674751  3.392E-5 8.47192 5797 390.00
377.00 1.000576 3.207897E-3 0.674408  3.385E-5 8.47094 5827 390.00
377.00 1.000576 2.943990E-3 0.674621  3.392E-5 8.47120 5857 390.00
377.00 1.000576 3.291973E-3 0.674516  3.388E-5 8.47019 5887 390.00
377.01 1.000576 3.374778E-3 0.674589  3.396E-5 8.47243 5917 390.00
377.00 1.000576 3.329281E-3 0.674344  3.399E-5 8.47002 5947 390.00
377.01 1.000576 3.288411E-3 0.674428  3.386E-5 8.47073 5977 390.00
377.02 1.000576 3.204542E-3 0.674595  3.395E-5 8.47050 6006 390.00
377.03 1.000576 3.292086E-3 0.674275  3.407E-5 8.47086 6036 390.00
377.03 1.000576 3.674151E-3 0.674466  3.392E-5 8.46967 6066 390.00
377.03 1.000576 3.137804E-3 0.674615  3.382E-5 8.47118 6096 390.00
377.03 1.000576 3.631717E-3 0.674809  3.392E-5 8.47140 6126 390.00
377.03 1.000576 3.665688E-3 0.674686  3.376E-5 8.47051 6156 390.00
377.04 1.000576 3.393348E-3 0.674551  3.395E-5 8.47105 6186 390.00
377.04 1.000576 3.114692E-3 0.674441  3.405E-5 8.46997 6216 390.00
377.05 1.000576 3.455703E-3 0.674270  3.385E-5 8.47188 6246 390.00
377.05 1.000576 3.542589E-3 0.674723  3.389E-5 8.47051 6276 390.00
377.06 1.000576 3.650112E-3 0.674622  3.399E-5 8.47211 6305 390.00
377.06 1.000576 3.221525E-3 0.674540  3.402E-5 8.47089 6335 390.00
377.06 1.000576 3.592188E-3 0.674265  3.386E-5 8.47183 6365 390.00
377.07 1.000576 3.385515E-3 0.674341  3.380E-5 8.47157 6395 390.00
377.07 1.000576 3.437974E-3 0.674590  3.399E-5 8.47195 6425 390.00
377.08 1.000576 3.468685E-3 0.674620  3.404E-5 8.47117 6455 390.00
377.09 1.000576 3.340252E-3 0.674520  3.394E-5 8.47068 6485 390.00
377.08 1.000576 3.195352E-3 0.674517  3.381E-5 8.47150 6515 390.00
377.09 1.000576 3.223876E-3 0.674456  3.393E-5 8.47055 6545 390.00
377.09 1.000576 3.151135E-3 0.674563  3.402E-5 8.47063 6575 390.00
377.07 1.000576 4.175492E-3 0.674529  3.391E-5 8.47096 6604 390.00
377.07 1.000576 3.017140E-3 0.674627  3.384E-5 8.47112 6634 390.00
377.04 1.000576 3.302292E-3 0.674433  3.385E-5 8.47018 6664 390.00
377.08 1.000576 3.658149E-3 0.674694  3.389E-5 8.47066 6694 390.00
377.10 1.000576 3.250701E-3 0.674678  3.394E-5 8.47007 6724 390.00
377.11 1.000576 3.580832E-3 0.674771  3.397E-5 8.47100 6754 390.00
377.11 1.000576 3.139967E-3 0.674535  3.396E-5 8.47015 6784 390.00
