Index	X	Acquisition
251	2.19202141753351	0
252	2.22077352800841	1
253	2.2495259805236	0
254	2.27827877950631	0
255	2.30703192938377	1
256	2.33578543458321	0
257	2.36453929953186	0
258	2.39329352865693	0
259	2.42204812638566	0
260	2.45080309714527	1
261	2.479558445363	0
262	2.50831417546606	1
263	2.53707029188169	1
264	2.56582679903712	0
265	2.59458370135956	0
266	2.62334100327624	0
267	2.6520987092144	1
268	2.68085682360126	2
269	2.70961535086405	0
270	2.73837429542999	1
271	2.76713366172632	2
272	2.79589345418025	0
273	2.82465367721901	1
274	2.85341433526984	1
275	2.88217543275996	3
276	2.91093697411659	1
277	2.93969896376696	2
278	2.96846140613831	1
279	2.99722430565785	1
280	3.02598766675282	4
281	3.05475149385043	6
282	3.08351579137793	2
283	3.11228056376253	3
284	3.14104581543146	4
285	3.16981155081195	5
286	3.19857777433122	6
287	3.22734449041651	3
288	3.25611170349504	8
289	3.28487941799403	5
290	3.31364763834072	8
291	3.34241636896233	7
292	3.37118561428608	4
293	3.39995537873921	9
294	3.42872566674895	8
295	3.45749648274251	8
296	3.48626783114712	15
297	3.51503971639002	7
298	3.54381214289843	13
299	3.57258511509957	12
300	3.60135863742068	7
301	3.63013271428898	14
302	3.65890735013169	6
303	3.68768254937605	13
304	3.71645831644928	14
305	3.74523465577861	10
306	3.77401157179126	10
307	3.80278906891447	11
308	3.83156715157546	12
309	3.86034582420145	6
310	3.88912509121967	18
311	3.91790495705736	13
312	3.94668542614173	22
313	3.97546650290001	17
314	4.00424819175944	16
315	4.03303049714723	20
316	4.06181342349062	19
317	4.09059697521683	16
318	4.11938115675309	10
319	4.14816597252663	19
320	4.17695142696467	11
321	4.20573752449444	11
322	4.23452426954316	15
323	4.26331166653807	9
324	4.29209971990639	22
325	4.32088843407535	15
326	4.34967781347217	23
327	4.37846786252409	16
328	4.40725858565832	13
329	4.4360499873021	15
330	4.46484207188265	15
331	4.4936348438272	24
332	4.52242830756298	12
333	4.55122246751721	22
334	4.58001732811712	26
335	4.60881289378994	17
336	4.63760916896289	21
337	4.66640615806321	23
338	4.69520386551811	25
339	4.72400229575483	20
340	4.75280145320059	19
341	4.78160134228262	22
342	4.81040196742815	27
343	4.8392033330644	30
344	4.86800544361859	20
345	4.89680830351797	19
346	4.92561191718975	17
347	4.95441628906117	25
348	4.98322142355944	15
349	5.01202732511179	24
350	5.04083399814546	24
351	5.06964144708767	22
352	5.09844967636564	26
353	5.12725869040661	27
354	5.15606849363779	33
355	5.18487909048643	28
356	5.21369048537974	22
357	5.24250268274494	24
358	5.27131568700928	34
359	5.30012950259997	24
360	5.32894413394424	29
361	5.35775958546933	22
362	5.38657586160244	21
